Timestamp,veh_id,CBR,neighbors,SNR,Reward
8.0,veh12,0.35,7,32.8073681601755,0.4888678461838708
8.0,veh10,0.35,6,21.180613353166336,0.6882460364683951
8.0,veh18,0.25,8,31.77803474765371,0.4248708242845166
8.0,veh1,0.35,8,27.216460990526823,0.5688709890940029
8.0,veh19,0.15,13,17.387325244450548,0.5986522513905205
8.0,veh2,0.15,8,20.464030556896162,0.5514174337201065
8.0,veh7,0.35,8,33.434726853886076,0.4813446434924572
8.0,veh6,0.25,10,28.98620785141163,0.4638894474038834
8.0,veh13,0.25,8,30.605411910860752,0.44052570333037244
8.0,veh14,0.15,5,24.697348379735327,0.46003591785569575
8.0,veh15,0.15,8,22.882502713222866,0.49659749097801126
8.0,veh17,0.15,19,25.976167086175764,0.43639956843153527
8.0,veh8,0.15,7,19.698606292648652,0.5703589828685562
9.0,veh3,0.25,7,32.017816668600254,0.42179334354911835
9.0,veh5,0.15,10,33.65145932359662,0.32495980608132885
9.0,veh11,0.15,9,14.82810349309912,0.5346028479669549
9.0,veh16,0.15,11,33.0592929464016,0.3319691026028431
9.0,veh4,0.10221761199638876,8,19.127730122367154,0.5482642270970637
9.0,veh20,0.25,10,19.200820386888207,0.6600398664853087
9.0,veh9,0.15,11,29.974509523065656,0.37245696707529286
9.0,veh12,0.15,19,30.80905050664955,0.36081029761982436
9.0,veh10,0.15,12,31.22657475041727,0.3551829721540942
9.0,veh18,0.15,9,32.68446448433149,0.33652650190374217
9.0,veh1,0.15,8,33.96131023467834,0.32138306465345123
9.0,veh19,0.25,10,23.10452699390529,0.5688473090394518
9.0,veh2,0.15,9,20.434342729212187,0.552137186397059
9.0,veh7,0.15,8,33.008773702168455,0.33257782780189127
9.0,veh6,0.15,6,29.854490922531955,0.3741767756143752
9.0,veh13,0.15,7,18.846027625488077,0.5924275820378622
9.0,veh14,0.10255150871216848,9,31.15442235178576,0.3196472854967711
9.0,veh15,0.15,7,24.873883587063382,0.45667226771733077
9.0,veh17,0.35,8,33.34670265674546,0.48238447022249087
9.0,veh8,0.15,8,31.10716468703326,0.35677905692694056
10.0,veh3,0.15,17,21.83543563021118,0.5194304571289856
10.0,veh5,0.15,7,28.863960454670714,0.38881710148301
10.0,veh11,0.15,7,31.112126481375473,0.35671252445435836
10.0,veh16,0.25,13,30.38315910614971,0.4436095444451899
10.0,veh4,0.15,12,20.649599227066847,0.5469453018589285
10.0,veh20,0.15,7,33.171070610335654,0.33062830843344954
10.0,veh9,0.25,11,30.086006694489374,0.447792585657083
10.0,veh12,0.35,11,32.83685255522439,0.48850837032645966
10.0,veh10,0.25,10,31.427685760129027,0.42944173356726234
10.0,veh18,0.15,11,30.961662171397723,0.35873827035562716
10.0,veh1,0.15,11,32.39154937046942,0.3401545975567187
10.0,veh19,0.15,8,24.80503408736915,0.4579801832772134
10.0,veh2,0.15,9,18.44939269123875,0.6030560248500811
10.0,veh7,0.15,17,31.269696045769216,0.3546091921674486
10.0,veh6,0.15,6,33.911169666092434,0.32195769125001095
10.0,veh13,0.15,7,27.907111479003188,0.4037455717952837
10.0,veh14,0.15,7,31.589446973385947,0.3503971430935471
10.0,veh15,0.15,6,31.560386920760465,0.3507768648883224
10.0,veh17,0.15,5,22.2829944873617,0.5095079767621791
10.0,veh8,0.15,11,31.013995400351053,0.3580317710839539
11.0,veh3,0.35,5,15.542931636175956,0.7054322726683881
11.0,veh5,0.15,18,31.382657686193856,0.3531126041844106
11.0,veh11,0.15,16,32.43230415808789,0.3396462592030135
11.0,veh16,0.25,12,19.70719636699062,0.6470649858346605
11.0,veh4,0.25,12,31.752236565695945,0.4252043802587666
11.0,veh20,0.15,19,31.310565082228077,0.35406664843771013
11.0,veh9,0.25,12,18.09528947576906,0.6896677563160194
11.0,veh12,0.25,11,28.906659420644772,0.465092320210854
11.0,veh10,0.15,12,31.77681077138674,0.3479635618854565
11.0,veh18,0.25,12,31.78491300131923,0.42478197302758425
11.0,veh1,0.25,11,33.5100059965221,0.40353632172859477
11.0,veh19,0.15,12,33.71984675869997,0.3241650773138543
11.0,veh2,0.15,7,24.102286152594065,0.4716201766769759
11.0,veh7,0.35,12,32.47732817487881,0.4929321606962122
11.0,veh6,0.15,16,32.71067145008298,0.3362047662945104
11.0,veh13,0.15,9,31.56994732543472,0.35065187335361564
11.0,veh14,0.15,7,31.504858129159523,0.35150415541982893
