[2025-07-06 23:52:22] [21.91213035583496, 10.637381553649902]
[2025-07-06 23:52:22] [19.040367126464844, 15.931262969970703]
[2025-07-06 23:52:22] [18.703927993774414, 11.902676582336426]
[2025-07-06 23:52:22] [17.68962860107422, 13.487628936767578]
[2025-07-06 23:52:22] [21.968687057495117, 13.764423370361328]
[2025-07-06 23:52:22] [13.17308235168457, 12.796533584594727]
[2025-07-06 23:52:22] [14.963464736938477, 11.384403228759766]
[2025-07-06 23:52:22] [10.038074493408203, 10.556172370910645]
[2025-07-06 23:52:22] [15.060644149780273, 12.442427635192871]
[2025-07-06 23:52:22] [10.702339172363281, 14.199132919311523]
[2025-07-06 23:52:22] [14.317086219787598, 11.850431442260742]
[2025-07-06 23:52:22] [11.447607040405273, 15.25096321105957]
[2025-07-06 23:52:22] [15.61227798461914, 11.159725189208984]
[2025-07-06 23:52:22] [19.979440689086914, 11.462945938110352]
[2025-07-06 23:52:22] [20.350391387939453, 16.450218200683594]
[2025-07-06 23:52:22] [12.44764518737793, 11.565335273742676]
[2025-07-06 23:52:22] [15.828261375427246, 11.222965240478516]
[2025-07-06 23:52:22] [12.371009826660156, 10.741708755493164]
[2025-07-06 23:52:22] [12.429058074951172, 10.25219440460205]
[2025-07-06 23:52:22] [21.50674819946289, 16.68844223022461]
[2025-07-06 23:52:22] [11.220854759216309, 10.05650806427002]
[2025-07-06 23:52:22] [11.502864837646484, 11.775409698486328]
[2025-07-06 23:52:22] [13.49063491821289, 10.729924201965332]
[2025-07-06 23:52:22] [25.51520347595215, 11.495013236999512]
[2025-07-06 23:52:22] [18.01667022705078, 10.521411895751953]
[2025-07-06 23:52:22] [14.467561721801758, 12.126497268676758]
[2025-07-06 23:52:22] [10.849458694458008, 11.074067115783691]
[2025-07-06 23:52:22] [11.024999618530273, 10.501412391662598]
[2025-07-06 23:52:22] [20.820938110351562, 13.511883735656738]
[2025-07-06 23:52:22] [13.049447059631348, 14.044761657714844]
[2025-07-06 23:52:22] [14.327829360961914, 12.767375946044922]
[2025-07-06 23:52:22] [21.264610290527344, 11.22279167175293]
[2025-07-06 23:52:22] [18.417373657226562, 14.776165962219238]
[2025-07-06 23:52:22] [17.89973258972168, 11.954792976379395]
[2025-07-06 23:52:22] [13.261835098266602, 10.379188537597656]
[2025-07-06 23:52:22] [12.405614852905273, 13.671483993530273]
[2025-07-06 23:52:22] [15.64179801940918, 13.080414772033691]
[2025-07-06 23:52:22] [22.430213928222656, 11.788817405700684]
[2025-07-06 23:52:22] [10.958580017089844, 10.234228134155273]
[2025-07-06 23:52:22] [25.456771850585938, 14.69167709350586]
[2025-07-06 23:52:22] [12.380960464477539, 12.762349128723145]
[2025-07-06 23:52:22] [16.132238388061523, 12.097078323364258]
[2025-07-06 23:52:22] [10.506503105163574, 12.067729949951172]
[2025-07-06 23:52:22] [17.008350372314453, 12.447052955627441]
[2025-07-06 23:52:22] [17.129432678222656, 13.905780792236328]
[2025-07-06 23:52:22] [12.37285041809082, 12.238130569458008]
[2025-07-06 23:52:22] [18.260364532470703, 14.168643951416016]
[2025-07-06 23:52:22] [10.615578651428223, 13.051082611083984]
[2025-07-06 23:52:22] [16.24526023864746, 10.387612342834473]
[2025-07-06 23:52:22] [12.504903793334961, 11.127452850341797]
[2025-07-06 23:52:22] [12.136688232421875, 10.520750045776367]
[2025-07-06 23:52:22] [11.083599090576172, 11.877828598022461]
[2025-07-06 23:52:22] [23.416175842285156, 11.609230041503906]
[2025-07-06 23:52:22] [21.636194229125977, 12.52568244934082]
[2025-07-06 23:52:22] [20.625377655029297, 11.637240409851074]
[2025-07-06 23:52:22] [15.866423606872559, 10.98786735534668]
[2025-07-06 23:52:22] [15.694340705871582, 11.554081916809082]
[2025-07-06 23:52:22] [11.151460647583008, 12.169404983520508]
[2025-07-06 23:52:22] [14.180335998535156, 14.809797286987305]
[2025-07-06 23:52:22] [10.249603271484375, 10.689314842224121]
[2025-07-06 23:52:22] [10.65359878540039, 17.70110321044922]
[2025-07-06 23:52:22] [15.260128021240234, 12.619688034057617]
[2025-07-06 23:52:22] [17.52149200439453, 13.77957820892334]
[2025-07-06 23:52:22] [23.695831298828125, 10.73638916015625]
[2025-07-06 23:52:22] [10.833858489990234, 13.727079391479492]
[2025-07-06 23:52:22] [16.14035415649414, 13.394857406616211]
